Accession No.	Order	Family	Subfamily	Genus
KT887557.1	Caudovirales	Siphoviridae	unassigned	Detrevirus
JQ347801.1	Caudovirales	Siphoviridae	unassigned	unassigned
NC_028818.1	Caudovirales	Siphoviridae	unassigned	Woodruffvirus
KP876466.1	Caudovirales	Siphoviridae	unassigned	Woodruffvirus
KY365739.1	Caudovirales	Siphoviridae	unassigned	Woodruffvirus
KU977420.1	Caudovirales	Podoviridae	Sepvirinae	Traversvirus
KU356689.1	Caudovirales	Siphoviridae	unassigned	Abidjanvirus
MG812488.1	Caudovirales	Siphoviridae	unassigned	Cheoctovirus
MK416013.1	Caudovirales	Siphoviridae	unassigned	unassigned
MH590596.1	Caudovirales	Siphoviridae	unassigned	Cheoctovirus
MK937597.1	Caudovirales	Siphoviridae	unassigned	unassigned
MG925354.1	Caudovirales	Siphoviridae	unassigned	Cheoctovirus
MF919501.1	Caudovirales	Siphoviridae	unassigned	Cheoctovirus
MG592596.1	Caudovirales	Podoviridae	unassigned	unassigned
MK977709.1	Caudovirales	Siphoviridae	unassigned	Cheoctovirus
KY965064.1	Caudovirales	Siphoviridae	unassigned	Cheoctovirus
KX905163.1	Caudovirales	Myoviridae	unassigned	Lubbockvirus
KP876465.1	Caudovirales	Siphoviridae	unassigned	Woodruffvirus
NC_028974.1	Caudovirales	Siphoviridae	unassigned	Woodruffvirus
MH051257.1	Caudovirales	Siphoviridae	unassigned	Cheoctovirus
MH910041.1	Caudovirales	Siphoviridae	unassigned	unassigned
NC_029005.2	Caudovirales	Siphoviridae	unassigned	Woodruffvirus
KT989433.2	Caudovirales	Siphoviridae	unassigned	Woodruffvirus
MF668270.1	Caudovirales	Siphoviridae	unassigned	Cheoctovirus
MH155870.1	Caudovirales	Siphoviridae	unassigned	unassigned
KY385384.1	Caudovirales	Siphoviridae	unassigned	Cheoctovirus
KT070868.1	Caudovirales	Siphoviridae	unassigned	Saundersvirus
MH779504.1	Caudovirales	Siphoviridae	unassigned	unassigned
MF919526.1	Caudovirales	Siphoviridae	unassigned	Cheoctovirus
KY629621.2	Caudovirales	Siphoviridae	unassigned	unassigned
MH238467.1	Caudovirales	Siphoviridae	unassigned	unassigned
MK937606.1	Caudovirales	Siphoviridae	unassigned	unassigned
NC_023566.1	Caudovirales	Siphoviridae	unassigned	Rigallicvirus
KF977490.1	Caudovirales	Siphoviridae	unassigned	Rigallicvirus
MK937608.1	Caudovirales	Siphoviridae	unassigned	unassigned
MK967397.1	Caudovirales	Siphoviridae	unassigned	Cheoctovirus
MK814756.1	Caudovirales	Siphoviridae	unassigned	unassigned
KR011061.1	Caudovirales	Siphoviridae	unassigned	unassigned
MF190168.1	Caudovirales	Siphoviridae	unassigned	Cheoctovirus
MH539650.1	Caudovirales	Siphoviridae	unassigned	unassigned
MH371115.1	Caudovirales	Siphoviridae	unassigned	Cheoctovirus
MH651176.1	Caudovirales	Siphoviridae	unassigned	unassigned
FN436268.1	Caudovirales	Siphoviridae	unassigned	unassigned
JQ680357.1	unassigned	unassigned	unassigned	unassigned
MH271303.1	Caudovirales	Siphoviridae	unassigned	unassigned
MK494118.1	Caudovirales	Siphoviridae	unassigned	Cheoctovirus
MK937591.1	Caudovirales	Siphoviridae	unassigned	unassigned
MK433269.1	Caudovirales	Siphoviridae	unassigned	Rimavirus
KT716399.1	Caudovirales	Myoviridae	unassigned	unassigned
JQ680367.1	unassigned	unassigned	unassigned	unassigned
MK570225.1	Caudovirales	Siphoviridae	unassigned	Saphexavirus
MH001449.1	Caudovirales	Siphoviridae	unassigned	Cheoctovirus
MK310226.1	Caudovirales	Myoviridae	unassigned	Myohalovirus
MK376961.1	Caudovirales	Siphoviridae	unassigned	unassigned
MH884512.1	Caudovirales	Siphoviridae	unassigned	unassigned
KU708004.1	Caudovirales	Siphoviridae	unassigned	unassigned
MF417875.1	Caudovirales	unassigned	unassigned	unassigned
CP038007.1	Caudovirales	Siphoviridae	unassigned	unassigned
MG099939.1	Caudovirales	Siphoviridae	unassigned	unassigned
MH229865.1	Caudovirales	Siphoviridae	unassigned	unassigned
MH155866.1	Caudovirales	Siphoviridae	unassigned	Cheoctovirus
MH706966.1	Caudovirales	Siphoviridae	unassigned	unassigned
MF668283.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
KR093630.1	Caudovirales	Siphoviridae	unassigned	unassigned
MK524510.1	Caudovirales	Siphoviridae	unassigned	unassigned
MF668287.1	Caudovirales	Siphoviridae	unassigned	Cheoctovirus
MH229864.1	Caudovirales	Siphoviridae	unassigned	unassigned
MH825698.1	Caudovirales	Podoviridae	unassigned	unassigned
JF412302.1	Caudovirales	Siphoviridae	unassigned	unassigned
MK779875.1	Caudovirales	Siphoviridae	unassigned	unassigned
MH077580.1	Caudovirales	Siphoviridae	unassigned	Cheoctovirus
KY709296.1	Caudovirales	Myoviridae	unassigned	unassigned
MK757449.1	Caudovirales	Podoviridae	unassigned	unassigned
MG711467.1	Caudovirales	Myoviridae	unassigned	unassigned
MH271312.1	Caudovirales	Siphoviridae	unassigned	unassigned
MH271304.1	Caudovirales	Siphoviridae	unassigned	unassigned
MH191398.1	Caudovirales	Myoviridae	unassigned	unassigned
MH536815.1	Caudovirales	Siphoviridae	unassigned	unassigned
MK494116.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MK673511.1	Caudovirales	Myoviridae	unassigned	unassigned
MK524497.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MK878904.1	Caudovirales	Podoviridae	unassigned	unassigned
MH153804.1	Caudovirales	Siphoviridae	unassigned	unassigned
MH834625.1	Caudovirales	Siphoviridae	unassigned	unassigned
KT336320.1	Caudovirales	Siphoviridae	unassigned	unassigned
MH622937.1	Caudovirales	Myoviridae	unassigned	unassigned
MK494113.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MK524499.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MK279857.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
KX657793.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MH513984.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
KP836355.1	Caudovirales	Siphoviridae	unassigned	unassigned
MK284522.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MF472896.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MK468591.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MH825706.1	Caudovirales	Siphoviridae	unassigned	unassigned
KX641263.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MG925344.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MH230876.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MH910037.1	Caudovirales	Siphoviridae	unassigned	unassigned
KT820175.1	Caudovirales	Podoviridae	unassigned	unassigned
MH316566.1	Caudovirales	Siphoviridae	unassigned	Soupsvirus
MH001458.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MH399771.1	Caudovirales	Siphoviridae	unassigned	Cheoctovirus
MH153800.1	Caudovirales	Siphoviridae	unassigned	unassigned
MF044458.2	Caudovirales	Myoviridae	unassigned	unassigned
KY421186.2	Caudovirales	Myoviridae	unassigned	Ficleduovirus
MH651185.1	Caudovirales	Siphoviridae	unassigned	unassigned
MH590598.1	Caudovirales	Siphoviridae	unassigned	Cheoctovirus
MF140403.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MK559428.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MH020237.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MH576971.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MH825709.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
KX576639.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MK814748.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MG099947.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
KF017927.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MH001460.1	Caudovirales	Siphoviridae	Arquatrovirinae	Arequatrovirus
MH669006.1	Caudovirales	Siphoviridae	unassigned	Bingvirus
MF668269.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MH509441.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MK814754.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MG592592.1	Caudovirales	Myoviridae	unassigned	unassigned
MG944220.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MK494108.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MH536818.1	Caudovirales	Siphoviridae	unassigned	unassigned
MK112532.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MK061415.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MH834612.1	Caudovirales	Siphoviridae	unassigned	unassigned
MH513979.1	Caudovirales	Siphoviridae	unassigned	unassigned
KX758539.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MK770411.1	Caudovirales	Myoviridae	unassigned	unassigned
MK279840.1	Caudovirales	Siphoviridae	unassigned	Mapvirus
MH020244.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
